IMDB|Year|Title|Director(s)|Country|Duration
0126875|1908|Dr. Jekyll and Mr. Hyde|Otis Turner|USA|16
0200593|1910|The Duality of Man| |UK|5
0126876|1910|Den skæbnesvangre opfindelse|August Blom|USA|17
0002143|1912|Dr. Jekyll and Mr. Hyde|Lucius Henderson|USA|12
0002813|1913|Dr. Jekyll and Mr. Hyde|Herbert Brenon|USA|26
2357384|1913|Dr. Jekyll and Mr. Hyde|Frank E. Woods|USA| 
0256936|1913|A Modern Jekyll and Hyde| |USA| 
0154614|1915|Horrible Hyde|Howell Hansel|USA| 
0011130|1920|Dr. Jekyll and Mr. Hyde|John S. Roberson|Denmark|49
0011131|1920|Dr. Jekyll and Mr. Hyde|J.Charles Haydon|USA|40
0011348|1920|Der Januskopf|F.W.Murnau|Germany|107
0022835|1931|Dr. Jekyll and Mr. Hyde|Rouben Mamoulian|USA|98
0211340|1932|Dr. Jekyll and Mr. Hyde|William Vance| |10
0033553|1941|Dr. Jekyll and Mr. Hyde|Victor Fleming|USA|113
0151561|1944|Mighty Mouse Meets Jekyll and Hyde Cat|Mannie Davis|USA|6
0039338|1947|Dr. Jekyll and Mr. Mouse|Joseph Barbera, William Hanna|USA|8
0228329|1950|Gentleman Jekyll and Driver Hyde|David Bairstow| |8
1336612|1950|The Strange Case of Dr. Jekyll and Mr. Hyde| | |69
0043515|1951|El extraño caso del hombre y la bestia|Mario Soffici|USA|80
0713926|1951|Dr. Jekyll and Mr. Hyde| | |30
0045469|1953|Abbott and Costello Meet Dr. Jekyll and Mr. Hyde|Charles Lamont|USA|76
0394419|1955|Dr. Jekyll and Mr. Hyde|Allen Reisner| |60
1613620|1956|Dr. Jekyll and Mr. Hyde|Philip Saville| |60
0053348|1959|Le testament du Docteur Cordelier|Jean Renoir| |95
0054416|1960|The Two Faces of Dr. Jekyll|Terence Fisher|USA|88
0160974|1963|Teenage Jekyll and Hyde| | |6
0337871|1964|Il dottor Jeckill e mister Hide|Antonello Falqui| | 
5494380|1965|Dr. Rock and Mr. Roll| | | 
0062908|1968|The Strange Case of Dr. Jekyll and Mr. Hyde|Charles Jarrott| |120
0068502|1971|Dr Jekyll & Sister Hyde|Roy Ward Baker|USA|94
0125275|1971|The Jekyll and Hyde Portfolio|Eric Jeffrey Haims|USA|77
4956042|1971|El extraño caso del Doctor Jekyll y Mister Hyde |Marcelo Domínguez| | 
0068727|1971|I, Monster|Stephen Weeks|USA|75
0068911|1972|The Man with Two Heads|Andy Milligan|USA|80
0438261|1972|O Médico E o Monstro|Zbigniew Ziembinski| | 
0068172|1972|The Adult Version of Jekyll & Hide|Lee Raymond|Belgium|75
0257761|1973|El hombre y la bestia|Julián Soler|Mexico|85
0070002|1973|Dr. Jekyll and Mr. Hyde|David Winters| |79
1605406|1973|Movie Monsters|Leon Thau| |25
1235928|1975|Strana storia del dottor White e del signor Black|Norman Mozzato| | 
3951866|1977|Dr. Jekyll Meets the Invisible Man|Scott Allen Nollen|USA|10
0079068|1979|Dottor Jekyll e gentile signora|Steno|Italy|107
0081853|1980|Dr. Jekyll and Mr. Hyde|Alastair Reid| |115
0082272|1981|Docteur Jekyll et les femmes|Walerian Borowczyk|France|92
0084171|1982|Jekyll and Hyde... Together Again|Jerry Belson|Denmark|87
0821767|1986|Dr. Jekyll and Mr. Hyde| |USA|50
0090086|1986|Strannaya istoriya doktora Dzhekila i mistera Khayda|Aleksandr Orlov|Soviet-Union|92
1003605|1986|Cap'n O.G. Readmore Meets Dr. Jekyll and Mr. Hyde|Rick Reinert| |60
0097263|1989|Edge of Sanity|Gérard Kikoïne|USA|85
0098393|1989|The Strange Case of Dr. Jekyll and Mr. Hyde|Michael Lindsay-Hogg| |60
0099875|1990|Jekyll & Hyde|David Wickes|USA|96
0112895|1995|Dr. Jekyll and Ms. Hyde|David Price|USA|90
0326471|1995|Julia Jekyll and Harriet Hyde|Jeremy Swan| |795
0117002|1996|Mary Reilly|Stephan Frears|USA|108
0117034|1996|Mi nombre es sombra|Gonzalo Suárez|Spain|90
0230158|2000|Dr. Jekyll and Mr. Hyde|Colin Budds|USA|105
0346899|2002|Dr. Jekyll and Mr. Hyde|Mark Redfield|USA|109
0385664|2003|The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical|Andre Champagne|USA|91
0365137|2003|Dr. Jekyll & Mistress Hyde|Tony Marsiglia|USA|88
0340083|2003|Dr. Jekyll and Mr. Hyde|Maurice Phillips| |98
0443656|2004|The Strange Game of Hyde and Seek|Nathan Hill|Austalia|30
2090535|2004|InHyde|Álvaro Fernández, Alberto Hermida|Spain|14
0472186|2006|The Strange Case of Dr. Jekyll and Mr. Hyde|John Carl Buechler|USA|89
0425150|2006|Jekyll + Hyde|Nick Stillwell|USA|89
0393394|2007|Jekyll|Scott Zakarin|USA| 
3281326|2008|The Man with Two Faces|James Ian Mair|USA|78
1159984|2008|Dr. Jekyll and Mr. Hyde|Paolo Barzman|USA|89
3475292|2011|Theoretics Presents: Jekyll & Hyde|Garrett Wesley Gibbons|USA|6
5227978|2015|Dr. Jekyll and Mr. Hyde: The Game - The Movie|James Rolfe|USA|4
4357294|2015|Hyde, Jekyll, Me| |South-Korea| 
3132614|2016|Dr. Jekyll and Mr. Hyde|B. Luciano Barsuglia|USA| 
4249644|2016|The Strange Case of Jekyll and Hyde|Jesse MaGill| | 
